run,drag_cd,guidance_gain,mass_kg,run_seed,sensor_bias_x_m,sensor_bias_z_m,sensor_noise_m,thrust_n,wind_x_mps,wind_z_mps
0,0.2241813149780523,2.1623427483890714,41.97819971290661,106755,-9.544430660553367,1.5411097322790304,9.415829787691923,2205.977229314954,0.1385593642441862,0.3161013111651891
1,0.25404387879361534,2.7138630575087888,43.52990881561791,114674,1.3489963391401492,-9.199541520552746,17.6416185564152,2476.3744185705286,10.468959032826044,2.121233870963362
2,0.23516150689010645,2.447121046908845,42.85581891096225,122593,-0.9415692095807187,7.857601967634953,13.160865801318803,2289.2220813859444,4.107703646675558,0.4328475519456201
3,0.23236835960381386,2.441997960898836,42.559674628164544,130512,-15.967021951883416,3.6735089328780037,11.553898036450391,2269.575260969559,2.967287803363385,0.6724687525108081
4,0.18498274142431415,1.660341765752303,40.313462731160975,138431,13.960389845269129,4.366052460392936,3.475329371440848,2078.8127899228325,-7.331914496990864,-2.033251433954134
5,0.20824671846757156,2.119882068542149,41.322526018832875,146350,14.55825428829893,-3.0737385611229104,6.970724007328242,2125.380465180616,-4.550639878854342,-0.8162538708960916
6,0.2106587565826738,2.103479605753087,41.82073701928137,154269,-15.353254571490792,-3.8989284481796482,4.376846073902828,2150.4333591623495,-3.239957268889783,-0.7367279721698045
7,0.2204968384826474,2.208370719314705,41.846264365415536,162188,12.882680414531283,-2.1707157809087767,8.9998380806803,2217.753186879175,0.23220432898475202,-0.06298201341813671
8,0.23405038787812094,2.582882915212427,42.831474782034164,170107,2.1485579260486007,0.7174308084897368,10.85498076666114,2298.9375324312305,2.876831714466525,0.627542323094884
9,0.2719550261221495,2.652699407613841,43.91295264515803,178026,26.747391609287483,1.7942715387455213,15.439649936433932,2353.6043265613403,7.435603195761244,2.062322824914366
10,0.20918683162552584,2.0706557032989807,41.82575709188354,185945,-22.320916134737192,3.547358274162246,5.454553306760467,2164.591546272502,-2.6302545121431296,-0.9665883797396824
11,0.2441927357875725,2.837294899994799,44.393126789885265,193864,-35.57271017059112,-6.098608214502862,14.485076743218395,2372.057484601421,10.162426203869003,3.5927027406924674
12,0.263275568579038,2.7115070507451824,43.95325922526877,201783,-11.923034191589391,-8.22876529792287,15.061177393529153,2312.3982748754697,8.318018653797454,1.5402400082277508
13,0.21323993609880235,2.0790543903174683,41.79686555095072,209702,13.066559550480205,5.603919131818263,5.900494508002679,2114.3346870297587,-2.927494269351844,-0.46574431023923635
14,0.22155456098858883,2.2282466481174397,42.03933998942909,217621,-17.604842820994882,-10.227369335250062,7.566068725495788,2211.374726317142,0.655212576368392,0.2586271792946253
15,0.20381264017510306,1.9899083451758715,41.32080334149266,225540,3.0052680658296707,-3.680158002388903,3.675401438984662,2140.5915240998647,-1.847434809514885,-0.474453927041799
16,0.19526514092084474,1.8348579517373884,40.25343371982725,233459,2.9422690665220848,8.478790281073236,0.2821424577198703,2075.0544534763485,-6.094445128347568,-1.6866145938737056
17,0.23671082303742105,2.445417151492292,42.46895796514586,241378,-5.884256510515105,-10.903543498737498,12.841379130112019,2253.335619987526,4.652247275927227,1.2514670893831243
18,0.22057681446967187,2.2334188945642635,42.00284591840035,249297,21.03250464346116,13.385238432753042,9.587450233701347,2183.4844574155777,-0.15528627559456865,-0.12134339605573213
19,0.23568192413672442,2.4471637236739796,42.96028448689584,257216,23.477473118140907,1.4301290503576016,11.381288553579425,2235.3757488676742,2.394696606862928,0.8996165478177852
20,0.17968158158359718,1.7683464775163713,40.34809838896053,265135,4.429019098944455,4.080153084683509,2.0881024308740024,2070.4523134214087,-6.503551439666449,-2.297965377139371
21,0.20615798847491554,2.0087591227000936,41.61166615826729,273054,-1.8107837607502941,-8.76854592958758,5.291895284662212,2128.0632789892775,-2.3728183259958997,-0.745065731695634
22,0.21935541543574186,2.248304678925589,42.17870627457691,280973,2.0276687223628174,3.140496087563033,9.494496422733803,2180.5143966330365,-0.6913077820034139,0.3175370886650654
23,0.17489626430939645,1.6559816645844252,41.153044568936444,288892,14.668545024977377,-6.738877191908996,1.780764140009118,2044.1277504357683,-6.082031677307311,-1.3210694706311654
24,0.18318225255759896,1.6782839146858548,40.48813854803792,296811,-4.246045438248518,12.845776530531854,2.3874601127661523,2017.1021640697165,-6.704337136576177,-1.3947005057944855
25,0.18463567501064523,1.8397243790047835,40.63357315738535,304730,-2.653230821586611,-5.303646651051644,3.258517812037826,2026.4898433301796,-10.810912558438648,-1.7039688122706305
26,0.22785332400959105,2.434127743640705,42.505006087951514,312649,-16.73094659426062,-12.942090765660687,14.09204203957053,2253.963757287974,4.894888442595656,0.5509593611014193
27,0.24702836215150267,2.772919151172852,43.69959300967052,320568,-6.4288814489059005,-13.72757798152308,15.716646200088002,2337.3220667939718,11.556555803942276,2.0477014597008036
28,0.2229705166995434,2.3025103692066065,42.31257157849007,328487,0.4419583303932709,-1.1868886408408708,10.26198453512288,2187.7270738934812,1.0683700679283201,-0.25095865924550054
29,0.20139657995596658,2.1098217058744684,41.84050870952003,336406,18.069650896094206,5.131790348772016,5.83945106743022,2112.3020552615912,-4.561700096893549,-1.0260939127283897
30,0.2427186551820738,2.7431447087559615,43.458563253275194,344325,12.037869760008304,14.248862659220336,15.234113597012305,2303.8275810684195,9.024430709386142,1.4057808974939483
31,0.16252102087759351,1.795035779225673,40.65769099145645,352244,14.690696477235944,4.392674506190613,1.7693399964273342,1949.913736482781,-9.518484772148163,-1.6589865781097932
