run,drag_cd,guidance_gain,mass_kg,run_seed,sensor_bias_x_m,sensor_bias_z_m,sensor_noise_m,thrust_n,wind_x_mps,wind_z_mps
0,0.17525813479465166,2.7454236104065752,41.44102098060896,106755,-9.544430660553367,1.5411097322790304,17.248236315710407,2195.666076238073,5.846159949046349,0.6518615769447218
1,0.19671323616758243,2.0487322585973216,40.4323093516807,114674,1.3489963391401492,-9.199541520552746,17.60927686473337,2123.6715221263557,1.777081310178763,0.25654335542010454
2,0.19075138527053281,2.4885716049230355,42.21829103262333,122593,-0.9415692095807187,7.857601967634953,17.375639096778,2282.1351931160925,3.391211556934678,-1.1452828607550793
3,0.21102203384232807,2.415196079952111,43.54728930025203,130512,-15.967021951883416,3.6735089328780037,15.315049377762108,2320.5331601814546,7.681325080608619,1.4177231828886225
4,0.2127079632751062,1.9527924570071016,41.85332571548504,138431,13.960389845269129,4.366052460392936,6.5659678134358055,2022.6576191630852,0.3664839154632157,-0.9115736543906787
5,0.18815332337536894,2.813079739466793,40.83559311528565,146350,14.55825428829893,-3.0737385611229104,12.732451726222214,2231.947612916223,2.048551915505169,0.2762650558323422
6,0.18604222331178644,1.9720538702354953,40.90474913567388,154269,-15.353254571490792,-3.8989284481796482,4.871572861766413,2251.6267388308706,0.9398290028571119,1.6185385819320341
7,0.2004698447771884,2.4638636984216356,41.06937234571631,162188,12.882680414531283,-2.1707157809087767,15.545194708022263,2099.817043992638,1.0691885341759124,-0.5290114392048688
8,0.23702056460828289,2.8218412019734282,42.10437141411277,170107,2.1485579260486007,0.7174308084897368,7.078274275210269,2359.078002619261,0.9628852638092709,1.5757757635423082
9,0.19498035411033376,2.139640876926758,40.86254936840936,178026,26.747391609287483,1.7942715387455213,9.728009911635233,2262.61957210814,1.0881184001005124,0.36193711999033573
10,0.24311141183656926,2.6139823840695784,42.17459517380976,185945,-22.320916134737192,3.547358274162246,9.91347658928962,2243.780364503552,-6.710377010461972,0.3067886300660815
11,0.20570886590403328,1.7561647074792732,41.533205813924944,193864,-35.57271017059112,-6.098608214502862,13.884984386029915,2333.925160729404,5.219923829778955,-0.5395893814357235
12,0.16316306453436696,2.8018079867773737,40.79750876456699,201783,-11.923034191589391,-8.22876529792287,6.141708184655854,2201.845214070039,2.7740441422882207,-1.0965822204909084
13,0.25305664273647266,1.8403023430583505,42.71694690904837,209702,13.066559550480205,5.603919131818263,14.567126576777273,2125.5677966268327,-10.798746238615045,1.9876758789245859
14,0.22714775152944444,1.83755566131357,42.9615992241986,217621,-17.604842820994882,-10.227369335250062,2.6899774131002037,2208.9486392670174,-0.3033329382181801,0.9554339669879837
15,0.2419433748194909,2.5459730268637197,39.767442691427874,225540,3.0052680658296707,-3.680158002388903,9.708268708705182,2304.0238726852162,-6.4903115569255885,-0.8145471012656544
16,0.19948673308109605,2.318087483244303,41.68497337197199,233459,2.9422690665220848,8.478790281073236,14.45513607503461,2285.9649033758183,1.9954659585810304,-1.660235717763841
17,0.21644874265402983,2.243863752901635,40.43822020353362,241378,-5.884256510515105,-10.903543498737498,5.911268166382234,2275.139812301686,-10.350145380699145,-0.13503271414224466
18,0.23085883267731297,2.67820362574824,40.409832065291276,249297,21.03250464346116,13.385238432753042,8.494528621631163,2093.0927981199216,-2.7306119433344653,-0.401386628920669
19,0.2269198957545255,2.035417469082321,41.40693259494891,257216,23.477473118140907,1.4301290503576016,6.076583582268721,2340.2146899418826,-7.600729458870767,-0.9865303819398049
20,0.23252214543923094,2.46549796661542,41.17744596206234,265135,4.429019098944455,4.080153084683509,15.990401967347225,2150.7192600344897,7.033856294179348,-1.2024410677339745
21,0.21812153134878423,2.6789200937102784,40.4681228070887,273054,-1.8107837607502941,-8.76854592958758,0.6035047080452792,1968.3561634979515,4.943344477180468,-0.6384338090988942
22,0.23955427285126424,2.6006041686362247,43.48878330609324,280973,2.0276687223628174,3.140496087563033,3.323510632564098,2229.550489041066,3.6863700375516646,-1.455387440560519
23,0.25178675087746816,2.4088121596747456,42.151255305017784,288892,14.668545024977377,-6.738877191908996,8.300773872484507,2218.4796015009592,9.047266395877953,0.4983987994967654
24,0.22494697382920167,2.3589826424569553,41.39175532564432,296811,-4.246045438248518,12.845776530531854,2.17037950313585,2337.3189173553524,10.55710792770656,1.9725242699610543
25,0.1791089369767753,2.029258685488365,42.37624731986598,304730,-2.653230821586611,-5.303646651051644,13.435495459524244,2165.19334331365,-10.922711946541979,-1.117463715610972
26,0.2236594287260622,2.8412982164626843,41.1699206578369,312649,-16.73094659426062,-12.942090765660687,16.53343667528515,2070.344357455858,8.955904199151828,0.024105493827008342
27,0.19803158219116235,1.9258125829907764,42.807474311011916,320568,-6.4288814489059005,-13.72757798152308,10.448476375230259,2318.3969821648775,7.897068948010004,-1.0273751265103956
28,0.22160384438277328,2.7294473644246975,42.365375215879816,328487,0.4419583303932709,-1.1868886408408708,4.221492794732404,2145.2005314781313,-3.3775687127459015,-0.02651786947932055
29,0.18210349587720143,2.4611057478695777,42.84535258007876,336406,18.069650896094206,5.131790348772016,8.79733568619328,2201.15251650529,-2.3417444138013503,1.5338669457077372
30,0.2692024789660896,2.324312877765726,41.81636289148096,344325,12.037869760008304,14.248862659220336,2.6194174995995825,2072.1743133652403,-12.800046138656407,-1.7068890789067528
